"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"18083","Knox County, IN",".",".",".",".",".",".",".",".",".","31","13.8",".",".","."
"18089","Lake County, IN","8","3",".",".","0.1","0.088","66","21","5","37","16.1","115","31","."
"18091","LaPorte County, IN",".",".",".",".","0.09","0.078","26","10","2","32","12.4",".",".","."
"18095","Madison County, IN",".",".",".",".","0.09","0.078",".",".",".","34","13.7",".",".","."
"18097","Marion County, IN","7.9","3.6","48","13","0.1","0.083","122","28","5","39","17.3","59","27","."
"18109","Morgan County, IN",".",".",".",".","0.09","0.084","140","36","5",".",".",".",".","."
"18123","Perry County, IN",".",".",".",".","0.1","0.08",".",".",".",".",".","79","34","."
"18125","Pike County, IN",".",".",".",".",".",".","172","37","7",".",".",".",".","."
"18127","Porter County, IN",".",".",".",".","0.1","0.084","62","16","3","33","13.8","78","23","."
"18129","Posey County, IN",".",".",".",".","0.09","0.081",".",".",".",".",".",".",".","."
"18141","St. Joseph County, IN",".",".","35","10","0.09","0.082",".",".",".","34","13.9","47","20","."
"18145","Shelby County, IN",".",".",".",".","0.1","0.082",".",".",".",".",".",".",".","."
"18147","Spencer County, IN",".",".",".",".",".",".","46","12","5","31","14.1",".",".","."
"18157","Tippecanoe County, IN",".",".",".",".",".",".",".",".",".","34","13.9",".",".","."
"18163","Vanderburgh County, IN","2.5","1.6",".",".","0.1","0.088","69","18","3","32","15.2","51","26","."
"18167","Vigo County, IN",".",".",".",".","0.09","0.077","133","26","5","32","14.1","55","23","."
"18173","Warrick County, IN",".",".",".",".","0.1","0.083","103","26","3",".",".",".",".","."
